name,age,gender,cc_num,category,amt,street,city,state,zip,job,unix_time,is_fraud,predicted_fraud
Morgan James,57,Female,3550412175018089,shopping_pos,1050.65,742 Sellers Ferry,Lexington,KY,40502,Software engineer,1378425142,1,1
Jeffery Brown,56,Male,3585052663373890,shopping_pos,847.92,296 Maria Street,West Eaton,NY,13484,Science writer,1380813517,1,1
James Reese,62,Male,6517217825320610,shopping_net,965.23,26975 Richardson Mills Apt. 402,Sontag,MS,39665,"Librarian, academic",1387702110,0,1
Maureen Garza,60,Female,4306630852918,shopping_net,1377.36,169 Edward Inlet,Saint Louis,MO,63131,Occupational hygienist,1381319761,0,1
Richard Vance,34,Male,376656886990758,gas_transport,11.7,169 Shelia Knoll Suite 753,Zavalla,TX,75980,"Designer, jewellery",1378781127,1,1
Christopher Matthews,38,Male,378006354724784,grocery_pos,269.38,433 John Heights Apt. 849,Etlan,VA,22719,Senior tax professional/tax inspector,1384578074,1,1
Tyler Garcia,34,Male,375534208663984,grocery_pos,317.09,408 Bradley Rest,Doe Hill,VA,24433,Dance movement psychotherapist,1374357770,1,1
Lori Bishop,20,Female,3501942333500073,misc_net,862.79,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,Counselling psychologist,1381681689,0,1
Heather Hines,58,Female,4740713119940984,shopping_net,976.13,13776 Hicks Plains,Pomona,NY,10970,Pensions consultant,1382741396,1,1
Brent Terrell,54,Male,372382441451095,shopping_net,1033.25,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,Heritage manager,1377125871,1,1
Kenneth Doyle,43,Male,30235268718158,misc_net,779.85,8614 Reed Glen,West Harrison,NY,10604,Lexicographer,1380429711,0,1
Kimberly Bush,74,Female,4462038234743679432,grocery_pos,315.89,6027 Scott Meadows Suite 494,Dell City,TX,79837,Hydrogeologist,1373071475,1,1
Mary Schmidt,63,Female,180040027502291,shopping_pos,1038.53,022 Moore Island,New York City,NY,10162,Audiological scientist,1387151659,1,1
Jennifer Jones,84,Female,583699482621,shopping_pos,1091.15,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,"Engineer, civil (contracting)",1378513897,0,1
Christopher White,67,Male,3560336828629935,shopping_net,1013.2,13613 Hammond Ferry,Clutier,IA,52217,"Embryologist, clinical",1384121049,1,1
David Thomas,57,Male,3565943051129759,shopping_pos,1581.27,838 Dan Haven Suite 003,Webster City,IA,50595,Medical secretary,1376801382,0,1
Richard Waters,74,Male,4428780983793657331,misc_pos,308.41,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1376098337,0,1
Jeffrey Krause,31,Male,5410056176712193,grocery_pos,270.75,4742 Alexandria Mountain,New Franken,WI,54229,Art therapist,1385426138,1,1
Matthew Myers,40,Male,3535808924394848,shopping_net,1113.48,4936 Michelle Points,Tower Hill,IL,62571,Radio broadcast assistant,1384299779,1,1
Erica Walker,52,Female,180046165512893,shopping_net,1070.99,084 Holmes Avenue Suite 206,Stayton,OR,97383,"Engineer, biomedical",1385420453,1,1
Vincent Mueller,61,Male,4605902936394,shopping_net,1318.6,79019 Taylor Cliffs,Dallas,TX,75238,Drilling engineer,1385801996,0,1
Shannon Bell,43,Female,375082648741747,grocery_net,8.22,2918 David Spurs,Georgetown,MN,56546,"Research officer, trade union",1375927492,1,1
Edward Hensley,34,Male,676275912597,misc_net,836.06,24318 Dixon Mills,Elk Rapids,MI,49629,Chief Financial Officer,1385596515,1,1
Mary Schmidt,62,Female,180040027502291,shopping_net,1478.51,022 Moore Island,New York City,NY,10162,Audiological scientist,1385184575,0,1
Jessica Shaw,91,Female,4488258847705225890,shopping_pos,1153.92,5745 Blair Locks,West Columbia,SC,29170,Chemical engineer,1376615648,0,1
Evan Santiago,51,Male,180052752563109,misc_net,920.01,9652 Ford Ford Apt. 566,Arlington,VA,22204,Historic buildings inspector/conservation officer,1378044660,1,1
Steven Faulkner,67,Male,3514897282719543,shopping_pos,915.25,841 Cheryl Centers Suite 115,Farmington,NY,14425,Cytogeneticist,1373670758,1,1
Lawrence Ellis,58,Male,4134456652433447,shopping_net,900.34,1471 Alicia Flat Apt. 993,Springfield Gardens,NY,11413,Production manager,1378543678,0,1
Steven Walters,41,Male,4476840372112,misc_net,762.62,3206 Hall Divide Suite 282,Woodville,AL,35776,"Editor, commissioning",1375929639,1,1
Ricky Dunn,37,Male,3500165543009955,shopping_net,963.57,97689 Davis Point Apt. 967,Detroit,MI,48214,Health visitor,1385247970,1,1
Derrick Flores,27,Male,3597926034019603,misc_net,703.01,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,Furniture conservator/restorer,1387501738,0,1
April Johnson,32,Female,30197398657930,home,259.8,9727 Deleon Mountain,Creedmoor,NC,27522,Chief Strategy Officer,1373154491,1,1
Juan Henry,56,Male,4710826438164847414,entertainment,669.67,9795 Lori Island Suite 346,Turner,MT,59542,Further education lecturer,1380755440,1,1
Jason Johnson,23,Male,3588001568691267,grocery_pos,298.76,5942 Thomas Park,Craig,AK,99921,Commissioning editor,1386030993,1,1
Roberta Mccarthy,47,Female,375974680629816,shopping_net,1009.75,94431 Matthew Mall Suite 296,Plymouth,CT,6782,Herpetologist,1376970571,1,1
Crystal Fuller,36,Female,3586008444788268,gas_transport,8.06,000 Jennifer Mills,Issaquah,WA,98027,Osteopath,1372558282,1,1
Patrick Bates,52,Male,586100864972,shopping_net,966.79,4481 Maldonado Hollow,Kirkwood,NY,13795,Advertising account executive,1379977889,1,1
Randall Dillon,77,Male,60495593109,gas_transport,8.45,4440 George Mills Suite 591,Dallas,TX,75210,Television camera operator,1380336041,1,1
Tyler Garcia,34,Male,375534208663984,grocery_pos,325.81,408 Bradley Rest,Doe Hill,VA,24433,Dance movement psychotherapist,1374279103,1,1
Benjamin Rogers,25,Male,3586955669388457,shopping_net,1107.27,24191 Elizabeth Mill,Bolivar,PA,15923,"Administrator, local government",1381100120,1,1
Lauren Williams,38,Female,4874017206859125,entertainment,470.09,065 Jones Stravenue,Lake Oswego,OR,97034,Planning and development surveyor,1377951728,0,1
Gary Barnes,34,Male,6011492816282597,gas_transport,9.43,2970 Flores Brooks,Smackover,AR,71762,Financial adviser,1386990528,1,1
Kevin Walters,62,Male,377550167323848,misc_net,938.8,87227 Tapia Burgs,Auburn,ME,4210,Tourist information centre manager,1387024144,1,1
Tara Richards,74,Female,4658490815480264,shopping_pos,675.79,4879 Cristina Station,Keisterville,PA,15449,Systems developer,1377383647,1,1
Derrick Flores,27,Male,3597926034019603,misc_net,586.09,83690 Nicholas Ports Apt. 846,Oakland,TN,38060,Furniture conservator/restorer,1378605110,1,1
Jeffrey Krause,31,Male,5410056176712193,shopping_pos,868.43,4742 Alexandria Mountain,New Franken,WI,54229,Art therapist,1385506778,1,1
Tyler Small,44,Male,3579200383632826,shopping_net,930.27,047 Kevin Haven,Boyd,WI,54726,IT trainer,1373843289,1,1
Renee Jones,20,Female,4417677808209716,shopping_net,953.66,914 Nancy Square,Birmingham,AL,35211,Operational investment banker,1378424476,1,1
Mark Brown,80,Male,341546199006537,shopping_net,1169.14,8580 Moore Cove,Wales,AK,99783,"Administrator, education",1380264160,0,1
David Miller,36,Male,3589255887819806,misc_net,709.43,622 Bradley Knoll Apt. 758,Hancock,MD,21750,Press photographer,1372981443,1,1
Matthew Myers,40,Male,3535808924394848,gas_transport,11.02,4936 Michelle Points,Tower Hill,IL,62571,Radio broadcast assistant,1384303685,1,1
Grace Williams,50,Female,3523843138706408,shopping_net,1322.53,28812 Charles Mill Apt. 628,Plantersville,AL,36758,Drilling engineer,1386088483,0,1
Monica Cohen,37,Female,4512828414983801773,misc_pos,735.07,864 Reynolds Plains,Uledi,PA,15484,Tree surgeon,1377394084,1,1
Brian Hogan,60,Male,4972228199573984,shopping_net,988.52,3316 Cindy Land,Lane,OK,74555,Quantity surveyor,1385248734,1,1
Jason Johnson,23,Male,3588001568691267,grocery_pos,333.42,5942 Thomas Park,Craig,AK,99921,Commissioning editor,1386029650,1,1
William Hunter,51,Male,180069253480336,entertainment,664.26,5036 Victoria Ports Suite 249,Emporium,PA,15834,Public affairs consultant,1382246326,0,1
Adam Santos,38,Male,213156747557083,gas_transport,9.79,725 Jo Trace Apt. 102,Glendale,CA,91206,Advertising account planner,1386122668,1,1
Stephen Marshall,41,Male,4173950183554608,shopping_net,965.21,47144 Roberts Keys,Monmouth Beach,NJ,7750,Health promotion specialist,1378852945,1,1
Philip Hart,25,Male,6592243974328236,shopping_pos,1048.85,97405 Vazquez Plains,Montgomery,AL,36111,"Chemist, analytical",1376250173,0,1
Vincent Waller,66,Male,4623560839669,shopping_net,1023.35,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,Administrator,1378598378,1,1
Dalton Jones,62,Male,30242921189660,grocery_pos,338.05,3304 Hernandez Run,Afton,MI,49705,Technical brewer,1384303687,1,1
David White,48,Male,60487002085,grocery_pos,337.39,66234 Hall Lock Suite 758,Jackson,MS,39211,"Horticulturist, commercial",1379812311,1,1
Peter Edwards,55,Male,570273151375,grocery_pos,315.06,96122 Steven Flat,Allentown,GA,31003,"Lecturer, higher education",1378764306,1,1
Richard Waters,74,Male,4428780983793657331,gas_transport,11.61,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1374201309,1,1
Laura Johns,31,Female,38530489946071,gas_transport,9.45,95835 Garcia Rue,Arcadia,SC,29320,Animal technologist,1381450716,1,1
Thomas Hale,36,Male,2229378226512508,misc_net,833.6,949 Smith Parkway,Cazenovia,WI,53924,Occupational hygienist,1383694971,1,1
Kevin Walters,62,Male,377550167323848,misc_net,1757.21,87227 Tapia Burgs,Auburn,ME,4210,Tourist information centre manager,1381369888,0,1
Diana Jacobs,34,Female,4761403817546679245,shopping_net,1071.19,69608 Perez Mountain Apt. 006,Viola,AR,72583,Psychiatric nurse,1372488959,1,1
Gina Gomez,50,Female,6595970453799027,shopping_net,1171.12,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,Science writer,1375914393,1,1
Gina Gomez,50,Female,6595970453799027,gas_transport,21.44,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,Science writer,1375835487,1,1
Dennis Davidson,61,Male,180098888332620,misc_net,723.23,08469 Trujillo Forge,Springville,NY,14141,"Scientist, research (maths)",1372111631,1,1
Kyle Wright,52,Male,6597248210463122,shopping_pos,798.05,610 Samantha Park Suite 149,Whittemore,IA,50598,Optometrist,1381271529,1,1
Alicia Bishop,70,Female,676281772837,shopping_net,998.31,222 Freeman Islands,Whigham,GA,39897,"Editor, commissioning",1382914615,1,1
Kyle Wright,52,Male,6597248210463122,grocery_pos,334.54,610 Samantha Park Suite 149,Whittemore,IA,50598,Optometrist,1381186778,1,1
Brooke Smith,51,Female,3560725013359375,misc_net,701.52,63542 Luna Brook Apt. 012,Notrees,TX,79759,Cytogeneticist,1386063500,0,1
William Perry,26,Male,4005676619255478,shopping_net,931.82,458 Phillips Island Apt. 768,Denham Springs,LA,70726,Herbalist,1371857727,1,1
Thomas Hale,36,Male,2229378226512508,grocery_net,10.21,949 Smith Parkway,Cazenovia,WI,53924,Occupational hygienist,1383620826,1,1
Laura Walker,60,Female,2297447006766555,grocery_pos,287.86,611 Michael Rue,Cisco,IL,61830,Landscape architect,1380933012,1,1
Lauren Moreno,79,Female,3528231451607350,grocery_pos,307.33,83719 Wilson Shore,Heislerville,NJ,8324,Exercise physiologist,1372562869,1,1
Debra Eaton,85,Female,378858024506425,grocery_pos,295.82,72743 Brian Run,Paradise Valley,AZ,85253,Building surveyor,1382055151,1,1
Melody Thompson,67,Female,4586260469584,grocery_pos,305.08,0362 Anderson Wall,Mound City,MO,64470,Architect,1379199616,1,1
Thomas Hale,36,Male,2229378226512508,shopping_net,816.2,949 Smith Parkway,Cazenovia,WI,53924,Occupational hygienist,1383603380,1,1
Benjamin Martin,71,Male,371985236239474,misc_pos,875.71,0495 Baker Manors,Oriskany Falls,NY,13425,"Programmer, multimedia",1378427990,0,1
Michael Williams,47,Male,4292743669224718067,shopping_net,1686.86,35822 Clayton Street Apt. 679,Great Mills,MD,20634,Art therapist,1383675526,0,1
Michael Jackson,53,Male,377834944388609,grocery_pos,313.62,539 Underwood Divide,Pea Ridge,AR,72751,Product designer,1385870895,1,1
Mary Williams,22,Female,4599285557366057,shopping_net,1034.66,00315 Ashley Valleys,Burrton,KS,67020,Gaffer,1382738964,1,1
Destiny Fowler,22,Female,4295296907373,misc_net,614.29,007 Tonya Isle Suite 299,Wever,IA,52658,Quantity surveyor,1382733800,1,1
Erica Walker,52,Female,180046165512893,misc_net,835.51,084 Holmes Avenue Suite 206,Stayton,OR,97383,"Engineer, biomedical",1385498118,1,1
Sarah Foster,44,Female,30266994494236,entertainment,603.08,77872 Andrea Glen Apt. 543,Ford,VA,23850,Chief Operating Officer,1386023229,1,1
Christopher Gilbert,50,Male,374125201044065,grocery_pos,297.87,20937 Reed Lakes Apt. 271,Washington,DC,20012,"Optician, dispensing",1387414122,1,1
Kenneth Doyle,43,Male,30235268718158,grocery_pos,306.22,8614 Reed Glen,West Harrison,NY,10604,Lexicographer,1385003858,1,1
Lauren Moreno,79,Female,3528231451607350,shopping_net,970.38,83719 Wilson Shore,Heislerville,NJ,8324,Exercise physiologist,1372634178,1,1
Christopher Patterson,58,Male,375767678113375,travel,2157.7,16744 Campbell Wall Apt. 372,Timberville,VA,22853,Waste management officer,1377040807,0,1
Keith Sanders,21,Male,3545109339866548,misc_net,650.8,8030 Beck Motorway,Moorhead,MS,38761,Chartered public finance accountant,1383150794,0,1
Nicole Dominguez,51,Female,4087542780207162,gas_transport,8.08,537 Brian Island,Guthrie,OK,73044,Retail manager,1383277130,1,1
Casey Howell,54,Female,4186530744674,shopping_net,2383.68,374 Christopher Ramp Suite 855,Blackville,SC,29817,Technical brewer,1386157372,0,1
Walter Blair,62,Male,2229824890647120,misc_pos,767.76,44951 Williams Brooks,Pearlington,MS,39572,"Therapist, occupational",1381570800,0,1
Keith Sanders,21,Male,3545109339866548,grocery_pos,283.05,8030 Beck Motorway,Moorhead,MS,38761,Chartered public finance accountant,1386474078,1,1
Patrick Bates,52,Male,586100864972,shopping_pos,1064.72,4481 Maldonado Hollow,Kirkwood,NY,13795,Advertising account executive,1380062605,1,1
Brent Terrell,54,Male,372382441451095,grocery_pos,336.94,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,Heritage manager,1377069742,1,1
Edward Sanchez,58,Male,38859492057661,shopping_pos,846.21,594 White Dale Suite 530,Malad City,ID,83252,Nature conservation officer,1375790233,0,1
Kayla Sutton,69,Female,213180742685905,grocery_pos,335.21,010 Weaver Land,Carlotta,CA,95528,"Therapist, occupational",1386469704,1,1
Amy Daugherty,22,Female,4335531783520911,shopping_net,907.32,852 Thomas Well Suite 339,Owensville,MO,65066,Naval architect,1378678447,0,1
Richard Waters,74,Male,4428780983793657331,shopping_net,1040.83,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1374271533,1,1
Brent Terrell,54,Male,372382441451095,gas_transport,22.4,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,Heritage manager,1377054255,1,1
Edward Sanchez,58,Male,38859492057661,shopping_net,1009.4,594 White Dale Suite 530,Malad City,ID,83252,Nature conservation officer,1383776271,1,1
Melanie Jimenez,61,Female,213113028819344,entertainment,589.38,77944 Daniels Valley Suite 921,Camden,NY,13316,Building control surveyor,1384585342,0,1
Mario Johns,85,Male,341283058448499,grocery_pos,337.99,62130 Miller Square Suite 785,Brinson,GA,39825,"Engineer, broadcasting (operations)",1378348472,1,1
Nathan Mayer,51,Male,376012912828093,grocery_pos,306.33,478 Donovan Corners Apt. 803,Schaumburg,IL,60193,Claims inspector/assessor,1383178858,1,1
Michele Patrick,63,Female,3582402971899057,gas_transport,8.77,557 Lynn Garden Suite 907,Spirit Lake,ID,83869,Production manager,1384944698,1,1
Thomas Mathis,50,Male,2284059275940012,shopping_net,976.39,26615 Nelson Lane,Moores Hill,IN,47032,Sub,1376258768,1,1
Peter Edwards,55,Male,570273151375,shopping_net,936.85,96122 Steven Flat,Allentown,GA,31003,"Lecturer, higher education",1378677844,1,1
Tyler Small,44,Male,3579200383632826,gas_transport,10.04,047 Kevin Haven,Boyd,WI,54726,IT trainer,1373766816,1,1
Nicole Dominguez,51,Female,4087542780207162,shopping_net,1046.08,537 Brian Island,Guthrie,OK,73044,Retail manager,1383262719,1,1
Thomas Hale,36,Male,2229378226512508,grocery_pos,316.34,949 Smith Parkway,Cazenovia,WI,53924,Occupational hygienist,1383629171,1,1
Jodi Rodriguez,43,Female,6538891242532018,entertainment,592.15,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,"Engineer, control and instrumentation",1386715535,0,1
Frederick Robinson,55,Male,30510856607165,grocery_pos,308.81,1125 Ray Track,Livonia,MI,48154,Horticultural consultant,1380943896,1,1
Jennifer Banks,32,Female,2703186189652095,grocery_pos,332.91,561 Perry Cove,Moravian Falls,NC,28654,"Psychologist, counselling",1374196025,1,1
Stephanie Murphy,50,Female,3573386445588324,gas_transport,18.25,526 Stacy Walks,Barnard,SD,57426,Systems developer,1372293738,1,1
Justin Bell,47,Male,4158945090781624,shopping_net,1086.01,5323 Walker Island,Pittsburgh,PA,15217,"Scientist, marine",1383072890,0,1
Susan Mills,68,Female,571844099986,misc_net,878.42,005 Cody Estates,Louisville,KY,40202,Engineering geologist,1372549246,1,1
Melody Thompson,67,Female,4586260469584,shopping_net,1050.34,0362 Anderson Wall,Mound City,MO,64470,Architect,1379200371,1,1
Melissa Phillips,59,Female,501882822387,shopping_pos,906.83,5069 Scott Pass Apt. 654,Meadville,MS,39653,"Therapist, horticultural",1373669637,1,1
Meredith Ayala,84,Female,630469040731,grocery_pos,326.03,7107 Henderson Station,Cascade Locks,OR,97014,Barrister,1383872581,1,1
Gina Grimes,23,Female,6538441737335434,shopping_net,1147.88,444 Robert Mews,Clarks Mills,PA,16114,Energy manager,1384985338,1,1
Jennifer Jones,84,Female,583699482621,grocery_pos,278.02,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,"Engineer, civil (contracting)",1377575117,1,1
Christopher Ortega,63,Male,4423489490781412,shopping_pos,916.68,5045 Emily Wall,Princeton,IA,52768,Agricultural consultant,1387059924,1,1
Vincent Cain,74,Male,30570197515105,grocery_pos,290.91,64851 Cole Turnpike,Hartford,AL,36344,Jewellery designer,1381985512,1,1
Dylan Bonilla,34,Male,639046421587,shopping_pos,751.63,2497 John Motorway Suite 922,Leetsdale,PA,15056,"Administrator, education",1387321317,1,1
Kimberly Gonzalez,44,Female,3590736522064285,entertainment,616.41,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,"Scientist, audiological",1374840292,0,1
David Wolfe,45,Male,676369110710,shopping_pos,672.95,81261 Garcia Underpass Suite 741,Southfield,MI,48034,"Engineer, automotive",1380067065,1,1
Evan Santiago,51,Male,180052752563109,shopping_net,970.72,9652 Ford Ford Apt. 566,Arlington,VA,22204,Historic buildings inspector/conservation officer,1378061337,1,1
Corey Jones,58,Male,501831082224,grocery_net,10.87,709 George Underpass Apt. 080,West Decatur,PA,16878,Armed forces logistics/support/administrative officer,1388376050,0,1
Stephen Marshall,41,Male,4173950183554608,shopping_net,1102.11,47144 Roberts Keys,Monmouth Beach,NJ,7750,Health promotion specialist,1378769027,1,1
David Everett,47,Male,3596357274378601,gas_transport,9.02,4138 David Fall,Morrisdale,PA,16858,Advice worker,1386807701,1,1
Brenda Perez,35,Female,4607072969078276,entertainment,552.04,033 Tara Brook Suite 523,Coyle,OK,73027,Amenity horticulturist,1386891556,1,1
Monica Tucker,21,Female,4653879239169997,grocery_pos,319.08,302 Christina Islands,Smiths Grove,KY,42171,"Therapist, sports",1375496380,1,1
Robert Williams,25,Male,4798937978667559470,misc_net,779.91,09419 Lewis Rapids,Bay City,MI,48706,Water quality scientist,1387655187,0,1
Chris White,31,Male,4003989662068504,shopping_net,1098.59,98897 Bennett Lodge,Bessemer,AL,35022,Radio broadcast assistant,1378161352,1,1
Ashley Whitehead,37,Female,6592861994408652,misc_pos,797.93,58188 Madison Meadow Apt. 949,Cowlesville,NY,14037,Colour technologist,1383825813,0,1
Craig Dunn,26,Male,180011453250192,grocery_pos,291.8,721 Jacqueline Brooks,New Boston,IL,61272,Manufacturing engineer,1375147328,1,1
John Myers,38,Male,6544734391390261,shopping_net,917.11,701 Wilson Divide,Highland,IN,46322,Community arts worker,1372349643,1,1
Bruce Hall,63,Male,503851367360,shopping_pos,915.47,77686 Donald Bridge Apt. 711,Grifton,NC,28530,Forensic psychologist,1373322604,1,1
Walter Blair,62,Male,2229824890647120,shopping_pos,1555.38,44951 Williams Brooks,Pearlington,MS,39572,"Therapist, occupational",1378022378,0,1
Jeffrey Krause,31,Male,5410056176712193,grocery_pos,267.74,4742 Alexandria Mountain,New Franken,WI,54229,Art therapist,1385433284,1,1
Alyssa Morgan,57,Female,213161231269724,shopping_net,1134.41,622 Robin Run Suite 764,Gadsden,AL,35901,Physiological scientist,1372375602,1,1
Vincent Waller,66,Male,4623560839669,gas_transport,16.5,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,Administrator,1378519713,1,1
Michael Olson,54,Male,30560609640617,misc_net,760.8,558 Michael Estates,Luray,MO,63453,Town planner,1377214535,1,1
Alyssa Morgan,57,Female,213161231269724,grocery_pos,297.2,622 Robin Run Suite 764,Gadsden,AL,35901,Physiological scientist,1372210514,1,1
Elizabeth Mckee,25,Female,4725837176265195730,entertainment,532.58,358 Pruitt Square,Jay,FL,32565,Higher education careers adviser,1375493725,1,1
Jamie Olson,89,Female,4066595222529,shopping_pos,610.65,3423 Michael Canyon Suite 276,River,KY,41254,Quarry manager,1379658045,0,1
Joseph Bartlett,88,Male,4352307151555405069,shopping_net,1153.43,610 Pacheco Parkway,Falls Church,VA,22046,Armed forces training and education officer,1375226410,1,1
Mary Rodriguez,55,Female,4973530368125489546,shopping_net,938.43,8986 Fitzgerald Plains,Winslow,AR,72959,Musician,1387591338,0,1
